# X(m) Y(m) Z(m)
4.776863455772399902e-01 7.800655812025070190e-02 -4.975878000259399414e-01
4.776069521903991699e-01 6.620416045188903809e-02 -4.772825837135314941e-01
4.761339724063873291e-01 6.995160132646560669e-02 -4.787930846214294434e-01
4.754236936569213867e-01 7.086116820573806763e-02 -4.813778698444366455e-01
4.745046198368072510e-01 7.540695369243621826e-02 -4.815873503684997559e-01
4.750397801399230957e-01 5.879978835582733154e-02 -4.559026360511779785e-01
4.743932485580444336e-01 4.825732856988906860e-02 -4.352947175502777100e-01
4.737895429134368896e-01 4.691626876592636108e-02 -4.311921000480651855e-01
4.736822545528411865e-01 4.245072603225708008e-02 -4.295037090778350830e-01
4.743261635303497314e-01 3.851562365889549255e-02 -4.291437864303588867e-01
4.743648171424865723e-01 3.106784075498580933e-02 -4.281795620918273926e-01
4.766947627067565918e-01 3.095499053597450256e-02 -4.320281147956848145e-01
4.776296019554138184e-01 3.836307302117347717e-02 -4.327594935894012451e-01
4.767121672630310059e-01 3.762444108724594116e-02 -4.123934507369995117e-01
4.766348600387573242e-01 4.433356225490570068e-02 -4.082770645618438721e-01
4.751668870449066162e-01 4.679367691278457642e-02 -3.950456976890563965e-01
4.657325446605682373e-01 5.571737885475158691e-02 -3.921605646610260010e-01
4.673134684562683105e-01 6.001149490475654602e-02 -3.909182548522949219e-01
4.831022322177886963e-01 5.603472143411636353e-02 -3.906825780868530273e-01
4.986383020877838135e-01 5.424221605062484741e-02 -3.917950391769409180e-01
5.007897615432739258e-01 4.757061973214149475e-02 -3.922909498214721680e-01
5.110470652580261230e-01 4.741019383072853088e-02 -3.923098146915435791e-01
5.166176557540893555e-01 4.871492832899093628e-02 -3.940821290016174316e-01
5.179859995841979980e-01 4.891914501786231995e-02 -3.976916372776031494e-01
5.182200670242309570e-01 6.032708659768104553e-02 -4.006120264530181885e-01
5.154282450675964355e-01 8.226911723613739014e-02 -3.995783329010009766e-01
5.102182030677795410e-01 8.013670146465301514e-02 -3.970274627208709717e-01
5.038686990737915039e-01 8.440592139959335327e-02 -3.969432711601257324e-01
5.008298754692077637e-01 8.132825046777725220e-02 -3.971898555755615234e-01
5.001682639122009277e-01 7.370848208665847778e-02 -3.973542749881744385e-01
4.999168217182159424e-01 5.231047049164772034e-02 -3.975032866001129150e-01
5.014159083366394043e-01 4.728727042675018311e-02 -3.988490998744964600e-01
5.017434954643249512e-01 4.185415431857109070e-02 -4.027989208698272705e-01
5.049132108688354492e-01 3.335116803646087646e-02 -4.029062688350677490e-01
5.068831443786621094e-01 2.910268120467662811e-02 -4.039201736450195312e-01
5.130117535591125488e-01 1.557269878685474396e-02 -4.098572731018066406e-01
5.142762660980224609e-01 1.209600176662206650e-02 -4.122890233993530273e-01
5.145179033279418945e-01 1.450328435748815536e-02 -4.130691289901733398e-01
5.155512094497680664e-01 2.264574728906154633e-02 -4.162842631340026855e-01
5.157990455627441406e-01 6.274107098579406738e-02 -4.165293872356414795e-01
5.116395950317382812e-01 2.149838767945766449e-02 -4.124620556831359863e-01
5.025928616523742676e-01 3.239569813013076782e-02 -4.113423228263854980e-01
5.024404525756835938e-01 2.141930907964706421e-02 -4.112922251224517822e-01
5.027304291725158691e-01 2.250736579298973083e-02 -4.143437445163726807e-01
5.023428201675415039e-01 2.767261490225791931e-02 -4.168623983860015869e-01
5.004816651344299316e-01 2.433635480701923370e-02 -4.170621037483215332e-01
4.991344213485717773e-01 2.394109033048152924e-02 -4.178685545921325684e-01
4.990772306919097900e-01 2.424994856119155884e-02 -4.201021492481231689e-01
4.995357096195220947e-01 2.438640594482421875e-02 -4.235617816448211670e-01
5.004759430885314941e-01 2.489447779953479767e-02 -4.247700572013854980e-01
5.035972595214843750e-01 2.644382603466510773e-02 -4.297197461128234863e-01
5.038787722587585449e-01 2.566322125494480133e-02 -4.320487380027770996e-01
5.055587291717529297e-01 3.864389285445213318e-02 -4.372946619987487793e-01
5.058022141456604004e-01 4.332521557807922363e-02 -4.392012357711791992e-01
5.058822035789489746e-01 4.853688552975654602e-02 -4.426879286766052246e-01
4.957720041275024414e-01 6.544099003076553345e-02 -4.470732212066650391e-01
4.911401271820068359e-01 6.357515603303909302e-02 -4.306666851043701172e-01
4.897179603576660156e-01 6.166587769985198975e-02 -4.223360717296600342e-01
4.903042912483215332e-01 6.959713995456695557e-02 -4.197201430797576904e-01
4.900535941123962402e-01 6.202521175146102905e-02 -4.032304286956787109e-01
4.993287026882171631e-01 7.508324086666107178e-02 -4.056338965892791748e-01
5.136429667472839355e-01 1.215875893831253052e-01 -4.097920656204223633e-01
5.229042172431945801e-01 1.503486782312393188e-01 -4.075995087623596191e-01
5.390207171440124512e-01 1.937478929758071899e-01 -4.085178971290588379e-01
5.517333745956420898e-01 1.811192631721496582e-01 -4.043586850166320801e-01
5.707024335861206055e-01 2.172133177518844604e-01 -4.215989410877227783e-01
5.831540822982788086e-01 2.234333008527755737e-01 -4.212245643138885498e-01
5.995558500289916992e-01 2.529835700988769531e-01 -4.294890761375427246e-01
6.159042716026306152e-01 2.780254781246185303e-01 -4.313104152679443359e-01
6.229387521743774414e-01 2.921265065670013428e-01 -4.358095228672027588e-01
6.263787150382995605e-01 2.950077652931213379e-01 -4.351505339145660400e-01
6.311794519424438477e-01 3.059610128402709961e-01 -4.366165101528167725e-01
6.313531398773193359e-01 3.068600296974182129e-01 -4.364181458950042725e-01
6.302832961082458496e-01 3.085764646530151367e-01 -4.329931139945983887e-01
6.228757500648498535e-01 3.020819425582885742e-01 -4.261231422424316406e-01
6.271376609802246094e-01 2.924655675888061523e-01 -4.245885014533996582e-01
6.276081204414367676e-01 2.921766936779022217e-01 -4.245621860027313232e-01
6.277392506599426270e-01 2.896469533443450928e-01 -4.233784973621368408e-01
6.283636093139648438e-01 2.894281148910522461e-01 -4.228931367397308350e-01
6.302800178527832031e-01 2.887240052223205566e-01 -4.226597845554351807e-01
6.318048238754272461e-01 2.885617613792419434e-01 -4.225692451000213623e-01
6.372687220573425293e-01 2.884328663349151611e-01 -4.228129386901855469e-01
6.404786705970764160e-01 2.882761657238006592e-01 -4.248093962669372559e-01
6.435781121253967285e-01 2.883004844188690186e-01 -4.284176826477050781e-01
6.471259593963623047e-01 2.901289761066436768e-01 -4.324848949909210205e-01
6.660483479499816895e-01 2.902552187442779541e-01 -4.402048885822296143e-01
6.689333319664001465e-01 2.903191447257995605e-01 -4.420719444751739502e-01
6.703562736511230469e-01 2.878879606723785400e-01 -4.430035352706909180e-01
6.716537475585937500e-01 2.820387184619903564e-01 -4.443901777267456055e-01
6.739769577980041504e-01 2.796109914779663086e-01 -4.445922970771789551e-01
6.773497462272644043e-01 2.782098650932312012e-01 -4.460018277168273926e-01
6.776240468025207520e-01 2.780734300613403320e-01 -4.524845480918884277e-01
6.777832508087158203e-01 2.813727259635925293e-01 -4.519167840480804443e-01
6.757510900497436523e-01 2.856762707233428955e-01 -4.524007439613342285e-01
6.729422211647033691e-01 2.859184443950653076e-01 -4.524945616722106934e-01
6.597623229026794434e-01 2.863165140151977539e-01 -4.282747805118560791e-01
6.326267123222351074e-01 2.856776118278503418e-01 -4.225227534770965576e-01
6.279021501541137695e-01 2.868524491786956787e-01 -4.267688691616058350e-01
6.043260693550109863e-01 2.361829578876495361e-01 -4.173581600189208984e-01
6.015795469284057617e-01 2.348155528306961060e-01 -4.037710428237915039e-01
5.915447473526000977e-01 2.192977815866470337e-01 -4.081478416919708252e-01
5.911718010902404785e-01 2.178949415683746338e-01 -4.023143649101257324e-01
5.910333395004272461e-01 1.749021112918853760e-01 -4.024282097816467285e-01
5.903389453887939453e-01 1.663441807031631470e-01 -3.912774026393890381e-01
